ticket,price,market_cap,sector,industry,volume,pct_change
AACB,$10.49,0.00,,,64,0.00%
AACBR,$0.26,0.00,,,225565,-21.236%
AACG,$1.09,46902697.00,Real Estate,Other Consumer Services,2459,0.00%
AACI,$9.95,0.00,Finance,Blank Checks,5074,0.00%
AACIU,$10.08,0.00,Finance,Blank Checks,444,0.00%
AACIW,$0.3293,0.00,Finance,Blank Checks,16831,49.682%
AACO,$9.89,0.00,,,80,0.00%
AACOU,$10.02,0.00,,,97,0.00%
AACP,$9.99,0.00,Finance,Blank Checks,398850,0.301%
AACPU,$10.235,0.00,Finance,Blank Checks,153,0.343%
AAL,$13.50,8928699350.00,Consumer Discretionary,Air Freight/Delivery Services,106126283,1.504%
AAME,$1.67,34063371.00,Finance,Life Insurance,43707,-10.215%
AAOI,$177.00,14202969759.00,Technology,Semiconductors,19834459,-12.761%
AAON,$132.62,10863130980.00,Industrials,Industrial Machinery/Components,1251210,-7.614%
AAPG,$17.20,1605285426.00,Health Care,Biotechnology: Pharmaceutical Preparations,13603,-5.908%
AAPL,$307.34,4514011993040.00,Technology,Computer Manufacturing,65310719,-1.25%
AARD,$3.68,80284297.00,Health Care,Biotechnology: Pharmaceutical Preparations,139879,-6.599%
ABAT,$3.11,424248812.00,Basic Materials,Metal Mining,7028681,-16.173%
ABCL,$5.62,1656020290.00,Health Care,Biotechnology: Pharmaceutical Preparations,8928067,-11.774%
ABEO,$5.46,311193486.00,Health Care,Biotechnology: Pharmaceutical Preparations,881885,-6.186%
ABLV,$1.07,52847217.00,Consumer Discretionary,Other Consumer Services,118625,-1.382%
ABLVW,$0.0183,903836.00,Consumer Discretionary,Other Consumer Services,34,0.00%
ABNB,$133.54,80485215417.00,Consumer Discretionary,Diversified Commercial Services,4044951,-0.135%
ABOS,$2.15,155289297.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),319618,-6.114%
ABSI,$6.40,997792358.00,Health Care,Biotechnology: Commercial Physical & Biological Resarch,5223649,-12.807%
ABTC,$0.8631,917486697.00,Technology,EDP Services,16417701,-5.528%
ABTS,$1.99,5893280.00,Technology,Computer Software: Programming Data Processing,385080,-8.716%
ABUS,$4.25,839535268.00,Health Care,Biotechnology: Pharmaceutical Preparations,1124787,-2.299%
ABVC,$1.33,34580588.00,Health Care,Biotechnology: Pharmaceutical Preparations,180208,-7.639%
ABVX,$101.53,8050434318.00,Health Care,Biotechnology: Pharmaceutical Preparations,2625571,-3.24%
ACAAU,$10.05,0.00,Finance,Blank Checks,1591,0.00%
ACAD,$21.56,3691845357.00,Health Care,Biotechnology: Pharmaceutical Preparations,807301,-0.737%
ACB,$3.38,199779250.00,Health Care," Medicinal Chemicals and Botanical Products ",963574,-3.704%
ACCL,$1.55,21545000.00,Consumer Discretionary,Professional Services,5544227,18.321%
ACDC,$6.93,1253780818.00,Energy,Oilfield Services/Equipment,1532612,-14.02%
ACET,$7.26,67868193.00,Health Care,Biotechnology: Pharmaceutical Preparations,86593,-10.92%
