ticket,price
AACBU,$10.06
AACG,$0.9199
AADI,$1.98
AAL,$10.87
AAME,$1.43
AAOI,$22.11
AAON,$82.14
AAPG,$19.00
AAPL,$213.49
AARD,$10.01
ABAT,$0.98
ABCL,$2.52
ABEO,$5.29
ABL,$7.62
ABLLL,$26.23
ABLLW,$1.48
ABLV,$1.02
ABLVW,$0.0201
ABNB,$122.86
ABOS,$1.26
ABP,$0.479
ABSI,$3.14
ABTS,$3.16
ABUS,$3.30
ABVC,$0.6459
ABVE,$0.42
ABVEW,$0.0291
ABVX,$5.94
ACAD,$17.50
ACB,$4.41
ACCD,$6.98
ACDC,$7.27
ACET,$0.7826
ACGL,$92.57
ACGLN,$17.89
ACGLO,$21.08
ACHC,$28.54
ACHL,$1.43
ACHV,$2.76
ACIC,$12.28
ACIU,$2.29
ACIW,$52.92
ACLS,$58.47
ACLX,$71.68
ACMR,$29.18
ACNB,$41.30
ACNT,$12.45
ACOG,$5.44
ACON,$0.772
ACONW,$0.0589
ACRS,$1.56
ACRV,$5.44
ACT,$33.40
ACTG,$3.58
ACTU,$7.25
ACVA,$14.31
ACXP,$0.461
ADAG,$1.7714
ADAP,$0.4503
ADBE,$394.74
ADD,$1.03
ADEA,$13.67
ADGM,$1.08
ADI,$208.75
ADIL,$0.6939
ADMA,$18.43
ADN,$4.27
ADNWW,$0.011
ADP,$291.76
ADPT,$7.28
ADSE,$13.72
ADSEW,$2.64
ADSK,$254.43
ADTN,$9.10
ADTX,$0.0201
ADUR,$5.14
ADUS,$90.28
ADV,$1.70
ADVB,$3.78
ADVM,$4.61
ADVWW,$0.0148
ADXN,$7.54
AEHL,$0.1058
AEHR,$9.34
AEI,$0.8599
AEIS,$106.19
AEMD,$0.3736
AENT,$3.64
AENTW,$0.22
AEP,$105.56
AERT,$0.5611
AEVA,$2.72
AEVAW,$0.0604
AEYE,$11.34
AFBI,$17.47
AFCG,$6.62
AFJK,$10.95
AFMD,$0.88
AFRI,$8.66
AFRM,$50.08
AFYA,$18.03
AGAE,$1.0963
AGEN,$1.86
AGFY,$17.57
AGH,$0.6113
AGIO,$30.93
AGMH,$0.113
AGNC,$10.24
AGNCL,$25.165
AGNCM,$25.4469
AGNCN,$26.24
AGNCO,$25.90
AGNCP,$25.30
AGRI,$1.49
AGYS,$74.35
AHCO,$9.60
AHG,$1.2482
AIEV,$0.171
AIFE,$10.00
AIFEU,$10.21
AIFF,$4.25
AIFU,$0.3715
AIHS,$0.8581
AIMAW,$0.03
AIMD,$0.5211
AIMDW,$0.25
AIOT,$5.91
AIP,$7.63
AIRE,$1.28
AIRG,$4.36
AIRJ,$7.76
AIRJW,$1.06
AIRS,$2.86
AIRT,$17.85
AIRTP,$17.50
AISP,$3.76
AISPW,$0.9306
AITR,$10.96
AITRR,$0.1732
AIXI,$3.97
AKAM,$80.73
AKAN,$1.45
AKBA,$2.26
AKRO,$44.15
AKTX,$1.08
AKYA,$1.50
ALAB,$72.18
ALAR,$7.44
ALBT,$4.89
ALCO,$29.005
ALCY,$11.06
ALCYW,$0.13
ALDF,$10.06
ALDFW,$0.26
ALDX,$6.91
