ticket,price
AACBU,$10.06
AACG,$0.9188
AAL,$11.26
AAME,$1.44
AAOI,$21.08
AAON,$79.42
AAPG,$19.40
AAPL,$214.10
AARD,$9.18
ABAT,$1.04
ABCL,$2.38
ABEO,$5.14
ABL,$7.42
ABLLL,$25.67
ABLLW,$1.50
ABLV,$1.04
ABLVW,$0.022
ABNB,$126.15
ABOS,$1.18
ABP,$0.4583
ABPWW,$0.0301
ABSI,$3.04
ABTS,$3.79
ABUS,$3.31
ABVC,$0.665
ABVE,$0.441
ABVEW,$0.0282
ABVX,$7.06
ACAD,$17.18
ACB,$4.57
ACCD,$6.99
ACDC,$7.73
ACET,$0.7643
ACGL,$92.45
ACGLN,$17.82
ACGLO,$21.27
ACHC,$29.01
ACHV,$2.75
ACIC,$11.99
ACIU,$2.16
ACIW,$53.50
ACLS,$56.72
ACLX,$71.39
ACMR,$27.50
ACNB,$41.25
ACNT,$12.90
ACOG,$5.55
ACON,$0.80
ACONW,$0.0475
ACRS,$1.57
ACRV,$5.14
ACT,$33.97
ACTG,$3.45
ACTU,$6.99
ACVA,$15.69
ACXP,$0.419
ADAG,$1.78
ADAP,$0.28
ADBE,$389.61
ADD,$0.9177
ADEA,$13.81
ADGM,$0.865
ADI,$205.90
ADIL,$0.719
ADMA,$19.65
ADN,$5.34
ADNWW,$0.0134
ADP,$297.51
ADPT,$7.75
ADSE,$13.79
ADSEW,$2.57
ADSK,$267.82
ADTN,$9.04
ADTX,$10.69
ADUR,$5.35
ADUS,$90.90
ADV,$1.66
ADVB,$3.68
ADVM,$5.60
ADVWW,$0.0119
ADXN,$7.66
AEHL,$0.1118
AEHR,$8.96
AEI,$0.8776
AEIS,$105.83
AEMD,$0.43
AENT,$3.76
AEP,$106.21
AERT,$0.66
AERTW,$0.015
AEVA,$4.19
AEVAW,$0.0875
AEYE,$11.49
AFBI,$17.77
AFCG,$6.35
AFJK,$10.9972
AFJKU,$11.49
AFMD,$0.897
AFRI,$8.50
AFRIW,$0.68
AFRM,$47.95
AFYA,$17.99
AGAE,$1.14
AGEN,$1.67
AGFY,$19.30
AGH,$1.05
AGIO,$32.71
AGMH,$0.077
AGNC,$10.29
AGNCL,$25.50
AGNCM,$25.3733
AGNCN,$26.2375
AGNCO,$25.86
AGNCP,$25.41
AGRI,$1.46
AGYS,$75.09
AHCO,$10.01
AHG,$1.26
AIEV,$0.20
AIFE,$10.00
AIFEU,$10.24
AIFF,$5.12
AIFU,$0.3203
AIHS,$0.88
AIMAU,$12.00
AIMAW,$0.0397
AIMBU,$12.25
AIMD,$0.5201
AIMDW,$0.1705
AIOT,$5.82
AIP,$7.90
AIRE,$1.34
AIRG,$4.15
AIRJ,$7.64
AIRJW,$1.08
AIRS,$2.81
AIRT,$17.12
AIRTP,$17.23
AISP,$4.26
AISPW,$1.05
AIXI,$3.87
AKAM,$81.55
AKAN,$1.53
AKBA,$2.04
AKRO,$44.66
AKTX,$1.50
AKYA,$1.68
ALAB,$68.97
ALAR,$6.61
ALBT,$6.40
ALCO,$29.44
ALCY,$11.30
ALCYW,$0.1212
ALDF,$10.06
ALDFU,$10.21
ALDFW,$0.261
ALDX,$6.72
ALEC,$1.30
ALF,$10.23
ALGM,$26.84
ALGN,$168.81
ALGS,$11.52
ALGT,$53.03
ALHC,$17.18
ALKS,$33.92
ALKT,$26.27
ALLK,$0.2512
ALLO,$1.63
ALLR,$0.96
ALLT,$6.30
ALMS,$3.57
ALNT,$23.87
ALNY,$253.545
ALOT,$10.07
ALRM,$56.94
ALRS,$18.58
ALT,$5.78
ALTI,$2.90
ALTO,$1.22
ALTR,$111.54
ALTS,$4.72
ALVO,$11.55
ALVOW,$1.95
ALXO,$0.7485
ALZN,$0.9783
AMAL,$29.34
AMAT,$154.38
AMBA,$54.64
AMBR,$11.60
AMCX,$7.31
AMD,$107.14
AMED,$92.77
AMGN,$315.04
AMIX,$2.19
AMKR,$19.42
AMLX,$3.73
AMOD,$1.96
AMODW,$0.0677
AMPG,$1.81
AMPGW,$0.45
AMPH,$27.91
AMPL,$11.79
AMRK,$29.38
AMRN,$0.4355
AMRX,$9.01
AMSC,$20.07
AMSF,$51.51
AMST,$2.50
AMTX,$1.99
AMWD,$60.31
AMZN,$194.95
ANAB,$17.57
ANDE,$43.51
ANEB,$1.98
ANGH,$0.69
ANGHW,$0.015
ANGI,$1.60
ANGO,$9.87
ANIK,$15.62
ANIP,$64.35
ANIX,$3.15
ANL,$2.21
ANNA,$7.63
ANNAW,$0.25
ANNX,$2.49
ANSC,$10.63
ANSCW,$0.38
ANSS,$324.63
ANTE,$0.4867
ANTX,$1.46
ANY,$0.4531
AOSL,$26.72
AOUT,$13.55
APA,$20.57
APCX,$0.389
APCXW,$0.1602
APDN,$1.93
APEI,$22.63
APGE,$40.37
API,$4.93
APLD,$7.29
APLM,$10.39
APLMW,$0.0108
APLS,$24.15
APLT,$0.4997
APM,$0.92
APOG,$47.09
APP,$306.74
APPF,$215.51
APPN,$29.68
APPS,$3.45
APRE,$2.42
APTO,$3.93
APVO,$2.4699
APWC,$1.53
APYX,$1.16
AQB,$0.5939
AQMS,$2.05
AQST,$3.11
ARAY,$1.85
ARBB,$0.82
ARBE,$1.30
ARBEW,$0.237
ARBK,$0.3859
ARBKL,$7.73
ARCB,$71.80
ARCC,$21.73
ARCT,$12.84
ARDX,$5.49
AREB,$0.166
AREC,$0.442
ARGX,$613.04
ARHS,$9.255
ARKO,$4.07
ARKOW,$0.0657
ARKR,$10.14
ARLP,$26.68
ARM,$119.07
AROW,$26.14
ARQ,$4.83
ARQQ,$17.97
ARQQW,$2.066
ARQT,$16.77
ARRY,$5.70
ARTL,$0.989
ARTNA,$31.36
ARTV,$4.04
ARTW,$1.686
ARVN,$9.00
ARWR,$15.11
ASBP,$0.6882
ASBPW,$0.079
ASLE,$8.39
ASMB,$10.69
ASML,$734.06
ASND,$163.24
ASNS,$1.13
ASO,$47.42
ASPC,$10.07
ASPI,$4.24
ASPS,$0.8047
ASRT,$0.7111
ASRV,$2.45
ASST,$0.50
ASTC,$6.54
ASTE,$36.73
ASTH,$30.82
ASTI,$1.76
ASTL,$6.31
ASTLW,$0.40
ASTS,$24.69
ASUR,$10.50
ASYS,$4.90
ATAI,$1.37
ATAT,$30.21
ATCOL,$25.0741
ATEC,$10.20
ATER,$2.35
ATEX,$38.20
ATGL,$30.00
ATHA,$0.3288
ATHE,$3.92
ATIIU,$10.05
ATLC,$51.28
ATLCL,$24.04
ATLCP,$23.15
ATLCZ,$25.22
ATLN,$6.01
ATLO,$17.85
ATLX,$5.70
ATMC,$11.60
ATMCR,$0.1871
ATMCU,$11.63
ATMVR,$0.2001
ATNF,$1.05
ATNFW,$0.009
ATNI,$21.89
ATOM,$5.75
ATOS,$0.7155
ATPC,$1.02
ATRA,$6.74
ATRC,$34.82
ATRO,$25.00
ATSG,$22.32
ATXG,$0.8405
ATXS,$6.37
ATYR,$3.76
AUBN,$20.70
AUDC,$10.03
AUID,$6.28
AUPH,$8.32
AUR,$7.14
AURA,$7.42
AUROW,$1.45
AUTL,$1.675
AUUD,$0.308
AVAH,$5.46
AVAV,$125.10
AVBP,$19.54
AVDL,$8.67
AVDX,$8.46
AVGO,$190.54
AVIR,$3.15
AVNW,$19.85
AVO,$10.05
AVPT,$15.07
AVPTW,$4.8201
AVR,$5.76
AVT,$48.15
AVTE,$2.50
AVTX,$8.22
AVXL,$9.93
AWH,$0.10
AWRE,$1.68
AXDX,$1.13
AXGN,$18.04
AXON,$558.41
AXSM,$126.27
AXTI,$1.72
AYRO,$0.53
AYTU,$1.25
AZ,$7.34
AZI,$0.6387
AZN,$76.52
AZTA,$37.79
BACK,$0.4202
BACQ,$10.01
BACQU,$10.17
BAER,$1.53
BAERW,$0.0702
BAFN,$18.68
BAND,$15.02
BANF,$109.62
BANFP,$25.86
BANL,$1.102
BANR,$64.26
BANX,$20.67
BAOS,$2.33
BASE,$14.25
BATRA,$43.24
BATRK,$39.85
BAYA,$10.90
BBCP,$5.79
BBGI,$6.0899
BBIO,$33.91
BBLG,$0.822
BBLGW,$20.20
BBNX,$15.69
BBSI,$40.98
BCAB,$0.359
BCAL,$14.90
BCAX,$13.09
BCBP,$10.02
BCDA,$2.47
BCG,$1.87
BCLI,$1.54
BCML,$25.61
BCPC,$163.40
BCRX,$7.69
BCTX,$4.46
BCYC,$9.49
BDMD,$5.62
BDRX,$2.00
BDSX,$0.8153
BDTX,$1.88
BEAG,$10.06
BEAGR,$0.2653
BEAGU,$10.28
BEAM,$22.87
BEAT,$1.955
BEATW,$0.55
BECN,$123.83
BEEM,$2.19
BELFA,$74.50
BELFB,$74.92
BENF,$0.3461
BENFW,$0.0069
BETR,$12.98
BETRW,$0.10
BFC,$103.23
BFIN,$13.06
BFRG,$1.80
BFRGW,$0.6501
BFRI,$1.03
BFST,$24.71
BGC,$9.31
BGFV,$0.9745
BGLC,$0.3019
BGM,$8.9401
BHAT,$2.70
BHF,$57.98
BHFAL,$21.38
BHFAM,$15.25
BHFAN,$16.66
BHFAO,$21.80
BHFAP,$21.25
BHIL,$0.384
BHRB,$57.88
BHST,$6.3887
BIAF,$0.2805
BIAFW,$0.29
BIDU,$94.27
BIGC,$5.97
BIIB,$141.38
BILI,$20.15
BIOA,$4.38
BIOX,$4.31
BIRD,$5.31
BITF,$1.04
BIVI,$1.15
BJDX,$3.95
BJRI,$33.91
BKHA,$10.51
BKNG,$4589.03
BKR,$44.69
BKYI,$1.01
BL,$49.78
BLBD,$34.66
BLBX,$3.80
BLDE,$3.01
BLDEW,$0.2444
BLDP,$1.32
BLFS,$25.06
BLFY,$9.32
BLIN,$1.455
BLKB,$63.93
BLMN,$8.09
BLMZ,$0.2813
BLNE,$2.40
BLNK,$1.00
BLRX,$3.42
BLTE,$67.73
BLUE,$3.96
BLZE,$5.42
BMBL,$4.62
BMEA,$2.77
BMGL,$4.21
BMR,$2.51
BMRA,$0.7099
BMRC,$22.46
BMRN,$71.60
BNAI,$0.38
BNGO,$3.25
BNR,$5.76
BNRG,$1.302
BNTC,$16.79
BNTX,$96.23
BNZI,$1.07
BNZIW,$0.019
BOF,$1.95
BOKF,$102.57
BOLD,$1.57
BOLT,$0.44
BON,$0.26
BOOM,$8.54
BOSC,$3.85
BOTJ,$14.70
BOWN,$7.10
BOWNR,$0.29
BOWNU,$6.90
BOXL,$1.48
BPMC,$88.47
BPOP,$90.22
BPOPM,$25.64
BPRN,$31.21
BPYPM,$15.247
BPYPN,$13.94
BPYPO,$14.70
BPYPP,$15.2717
BRAG,$4.41
BREA,$0.705
BRFH,$3.47
BRID,$9.99
BRKL,$10.91
BRKR,$44.47
BRLS,$6.0494
BRLT,$1.47
BRNS,$1.01
BROG,$1.20
BRTX,$1.71
BRY,$3.49
BRZE,$36.05
BSBK,$7.73
BSET,$16.15
BSGM,$0.6656
BSII,$10.13
BSLK,$0.32
BSLKW,$0.0399
BSRR,$29.04
BSVN,$39.06
BSY,$41.65
BTAI,$2.36
BTBD,$1.34
BTBT,$2.40
BTCS,$1.80
BTCT,$4.61
BTCTW,$0.01
BTDR,$10.00
BTM,$1.38
BTMD,$4.20
BTMWW,$0.0651
BTOC,$1.02
BTOG,$0.2992
BTSG,$18.13
BTSGU,$65.81
BUJA,$11.38
BUJAR,$0.245
BUJAU,$11.21
BUSE,$22.01
BVFL,$15.42
BVS,$9.74
BWAY,$10.28
BWB,$14.02
BWBBP,$19.05
BWEN,$1.43
BWFG,$30.00
BWIN,$43.12
BWMN,$24.06
BYFC,$7.6311
BYND,$3.47
BYRN,$19.03
BYSI,$1.67
BZ,$20.29
BZAI,$3.27
BZAIW,$0.4217
BZFD,$2.26
BZFDW,$0.0716
BZUN,$3.055
CAAS,$4.64
CABA,$1.75
CAC,$41.44
CACC,$497.70
CADL,$8.25
CAKE,$48.53
CALC,$2.10
CALM,$88.72
CAMP,$5.00
CAMT,$67.82
CAN,$0.9915
CAPNR,$0.14
CAPR,$14.36
CAPS,$2.13
CAPT,$0.6196
CAPTW,$0.0196
CAR,$57.92
CARA,$5.15
CARE,$16.59
CARG,$29.87
CARM,$0.4158
CART,$38.93
CARV,$1.45
CASH,$73.23
CASI,$2.30
CASK,$0.625
CASS,$43.70
CASY,$394.84
CATY,$43.14
CBAT,$0.8281
CBFV,$28.19
CBLL,$20.27
CBNK,$28.90
CBRL,$40.85
CBSH,$61.44
CBUS,$2.19
CCAP,$17.74
CCB,$85.03
CCBG,$36.96
CCCC,$2.19
CCCS,$9.05
CCD,$21.79
CCEC,$19.61
CCEP,$85.56
CCG,$0.93
CCGWW,$0.0317
CCIR,$12.27
CCIRU,$12.99
CCIRW,$1.95
CCIX,$10.68
CCIXW,$0.6501
CCLD,$1.58
CCLDO,$19.4949
CCNE,$22.62
CCNEP,$24.704
CCOI,$68.97
CCRN,$14.80
CCSI,$24.69
CCTG,$1.765
CDIO,$0.44
CDIOW,$0.03
CDLX,$2.33
CDNA,$18.90
CDNS,$258.50
CDRO,$7.11
CDROW,$0.6919
CDT,$0.8792
CDTG,$1.81
CDTTW,$0.0125
CDTX,$23.10
CDW,$168.09
CDXS,$2.55
CDZI,$3.48
CDZIP,$19.1399
CEAD,$8.00
CEADW,$0.0146
CECO,$23.90
CEG,$219.44
CELC,$10.47
CELH,$31.25
CELU,$1.73
CELUW,$0.0596
CELZ,$2.78
CENN,$0.9238
CENT,$36.34
CENTA,$32.42
