ticket,price
AACBU,$10.08
AACG,$0.8655
AAL,$9.505
AAME,$1.59
AAOI,$12.83
AAON,$77.48
AAPG,$23.07
AAPL,$203.19
AARD,$8.69
ABAT,$1.01
ABCL,$2.09
ABEO,$4.95
ABL,$7.63
ABLLL,$25.40
ABLLW,$1.52
ABLV,$0.86
ABLVW,$0.0165
ABNB,$113.97
ABOS,$0.988
ABP,$0.361
ABPWW,$0.044
ABSI,$2.235
ABTS,$2.1399
ABUS,$3.51
ABVC,$0.9145
ABVE,$0.567
ABVEW,$0.0221
ABVX,$5.79
ACAD,$16.12
ACB,$4.29
ACCD,$7.01
ACDC,$6.675
ACET,$0.671
ACGL,$96.28
ACGLN,$17.30
ACGLO,$20.44
ACHC,$28.38
ACHV,$2.42
ACIC,$11.08
ACIU,$1.77
ACIW,$53.46
ACLS,$44.79
ACLX,$62.44
ACMR,$22.35
ACNB,$38.45
ACNT,$12.87
ACOG,$4.99
ACON,$12.12
ACONW,$0.038
ACRS,$1.49
ACRV,$1.64
ACT,$34.97
ACTG,$3.04
ACTU,$7.22
ACXP,$0.33
ADAG,$1.64
ADAP,$0.3239
ADBE,$367.25
ADD,$0.6692
ADEA,$12.16
ADGM,$0.791
ADI,$180.88
ADIL,$0.6748
ADMA,$19.45
ADN,$3.10
ADNWW,$0.0105
ADP,$305.39
ADPT,$7.41
ADSE,$13.66
ADSEW,$3.00
ADSK,$257.15
ADTN,$7.79
ADTX,$5.58
ADUR,$4.98
ADUS,$101.33
ADV,$1.31
ADVB,$3.49
ADVM,$3.94
ADVWW,$0.0118
ADXN,$7.30
AEHL,$0.0525
AEHR,$6.845
AEI,$0.9191
AEIS,$83.87
AEMD,$0.3493
AENT,$3.48
AENTW,$0.26
AEP,$109.11
AERT,$0.6711
AERTW,$0.02
AEVA,$7.31
AEVAW,$0.0852
AEYE,$11.11
AFBI,$17.56
AFCG,$5.43
AFJK,$11.00
AFJKR,$0.36
AFMD,$0.632
AFRI,$8.56
AFRIW,$0.52
AFRM,$38.91
AFYA,$17.97
AGAE,$1.02
AGEN,$1.60
AGFY,$16.99
AGH,$0.58
AGIO,$27.71
AGMH,$0.047
AGNC,$9.34
AGNCL,$25.12
AGNCM,$24.84
AGNCN,$25.33
AGNCO,$24.88
AGNCP,$24.90
AGRI,$1.26
AGYS,$71.39
AHCO,$10.33
AHG,$1.01
AIEV,$0.1464
AIFE,$10.025
AIFER,$0.2501
AIFEU,$10.24
AIFF,$3.56
AIFU,$0.194
AIHS,$0.87
AIMAU,$14.02
AIMAW,$0.0799
AIMBU,$12.98
AIMD,$0.5449
AIMDW,$0.1005
AIOT,$4.80
AIP,$6.60
AIRE,$1.07
AIRG,$3.44
AIRJ,$4.98
AIRJW,$0.73
AIRS,$1.975
AIRT,$16.72
AIRTP,$16.80
AISP,$3.88
AISPW,$0.9599
AITR,$10.995
AITRR,$0.20
AIXI,$4.00
AKAM,$78.78
AKAN,$1.33
AKBA,$1.88
AKRO,$39.99
AKTX,$1.19
AKYA,$1.22
ALAB,$55.68
ALAR,$6.37
ALBT,$4.80
ALCO,$29.93
ALCY,$11.30
ALDF,$10.09
ALDFU,$10.2499
ALDFW,$0.3421
ALDX,$1.42
ALEC,$1.09
ALF,$10.2579
ALFUU,$10.29
ALGM,$22.89
ALGN,$154.24
ALGS,$6.48
ALGT,$48.71
