ticket,price,market_cap,sector,industry,volume,pct_change
AACB,$10.50,0.00,,,16,0.00%
AACBR,$0.1951,0.00,,,70,0.00%
AACBU,$10.61,0.00,Finance,Blank Checks,10,0.00%
AACG,$0.965,41523947.00,Real Estate,Other Consumer Services,3527,-1.541%
AACI,$9.98,0.00,Finance,Blank Checks,251,0.201%
AACIU,$10.30,0.00,Finance,Blank Checks,8,0.00%
AACIW,$0.30,0.00,Finance,Blank Checks,24,0.00%
AACO,$9.89,0.00,,,7,0.00%
AACOU,$10.10,0.00,,,4,0.00%
AACOW,$0.39,0.00,,,2,0.00%
AACP,$9.99,0.00,Finance,Blank Checks,53400,0.301%
AACPR,$0.19,0.00,Finance,Blank Checks,20,0.00%
AACPU,$10.30,0.00,Finance,Blank Checks,500,0.783%
AACPW,$0.11,0.00,Finance,Blank Checks,12118,0.091%
AAL,$15.255,10089430265.00,Consumer Discretionary,Air Freight/Delivery Services,17483640,1.836%
AAME,$1.85,37734872.00,Finance,Life Insurance,9921,8.187%
AAOI,$185.00,14844911895.00,Technology,Semiconductors,4243943,9.435%
AAON,$133.62,10945042690.00,Industrials,Industrial Machinery/Components,90922,5.055%
AAPG,$17.61,1643550950.00,Health Care,Biotechnology: Pharmaceutical Preparations,1941,0.057%
AAPL,$295.845,4345180835820.00,Technology,Computer Manufacturing,8339971,1.62%
AARD,$4.0418,88177465.00,Health Care,Biotechnology: Pharmaceutical Preparations,20091,3.636%
ABAT,$3.52,480178720.00,Basic Materials,Metal Mining,1961838,4.142%
ABCL,$5.385,1586773890.00,Health Care,Biotechnology: Pharmaceutical Preparations,771208,2.767%
ABEO,$5.57,317462952.00,Health Care,Biotechnology: Pharmaceutical Preparations,93156,0.723%
ABLV,$1.12,55316713.00,Consumer Discretionary,Other Consumer Services,22485,1.818%
ABLVW,$0.0162,800117.00,Consumer Discretionary,Other Consumer Services,663,-4.142%
ABNB,$137.61,82938224454.00,Consumer Discretionary,Diversified Commercial Services,667107,4.029%
ABOS,$2.40,173346192.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),64622,1.266%
ABSI,$7.485,1166949344.00,Health Care,Biotechnology: Commercial Physical & Biological Resarch,2343128,10.074%
ABTC,$0.9113,968723934.00,Technology,EDP Services,2535734,6.286%
ABTS,$1.37,4057182.00,Technology,Computer Software: Programming Data Processing,19788,0.735%
ABUS,$4.335,856325973.00,Health Care,Biotechnology: Pharmaceutical Preparations,109436,1.761%
ABVC,$1.265,32890559.00,Health Care,Biotechnology: Pharmaceutical Preparations,46043,6.303%
ABVX,$96.62,7661114585.00,Health Care,Biotechnology: Pharmaceutical Preparations,294268,0.073%
ACAA,$9.96,0.00,Finance,Blank Checks,434,0.00%
ACAAU,$10.05,0.00,Finance,Blank Checks,10,0.00%
ACAD,$21.12,3616501574.00,Health Care,Biotechnology: Pharmaceutical Preparations,143656,0.142%
ACB,$3.135,185298210.00,Health Care," Medicinal Chemicals and Botanical Products ",327311,3.125%
ACCL,$1.61,22379000.00,Consumer Discretionary,Professional Services,17709,0.00%
ACDC,$7.27,1315293874.00,Energy,Oilfield Services/Equipment,337633,-3.709%
ACET,$8.1157,75867479.00,Health Care,Biotechnology: Pharmaceutical Preparations,8993,0.816%
ACFN,$15.87,39806054.00,Consumer Discretionary,Military/Government/Technical,814,-0.151%
ACGC,$9.95,0.00,Finance,Blank Checks,104,0.201%
ACGCU,$10.09,0.00,Finance,Blank Checks,1600,0.199%
ACGCW,$0.32,0.00,Finance,Blank Checks,2000,0.031%
ACGL,$91.55,31986616781.00,Finance,Property-Casualty Insurers,214206,-0.12%
ACGLN,$16.10,5625172367.00,Finance,Property-Casualty Insurers,1565,0.152%
ACGLO,$19.20,6708280090.00,Finance,Property-Casualty Insurers,11602,1.109%
ACHC,$24.62,2264228205.00,Health Care,Medical Specialities,122106,0.081%
ACHV,$5.56,570784357.00,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,174091,0.725%
ACIC,$10.425,505237690.00,Finance,Property-Casualty Insurers,21539,-0.239%
ACIU,$2.345,238659029.00,Health Care,Biotechnology: Pharmaceutical Preparations,59939,1.515%
ACIW,$45.46,4621534972.00,Technology,Computer Software: Prepackaged Software,44918,0.486%
ACLS,$190.355,5850350963.00,Technology,Industrial Machinery/Components,155078,5.682%
ACMR,$96.29,6376792925.00,Technology,Industrial Machinery/Components,437544,2.491%
ACNB,$57.53,587498891.00,Finance,Major Banks,3777,0.052%
ACNT,$14.00,126535010.00,Industrials,Steel/Iron Ore,7491,-0.356%
ACOG,$5.99,130426883.00,,,7348,0.00%
ACON,$3.11,7657598.00,Health Care,Medical Specialities,24645,-0.321%
ACONW,$0.0292,71898.00,Health Care,Medical Specialities,100,-0.341%
ACRS,$4.45,621503376.00,Health Care,Biotechnology: Pharmaceutical Preparations,146219,3.009%
ACRV,$1.565,66984706.00,Health Care,Biotechnology: Pharmaceutical Preparations,151639,5.743%
ACT,$42.53,5937219685.00,Finance,Specialty Insurers,12563,0.283%
ACTG,$4.68,452037138.00,Miscellaneous,Multi-Sector Companies,23344,0.00%
ACTU,$2.1099,50481155.00,Health Care,Biotechnology: Pharmaceutical Preparations,30967,4.45%
ACXP,$1.66,7134245.00,Health Care,Biotechnology: Pharmaceutical Preparations,37882,5.732%
ADAC,$10.03,0.00,,,5104,0.00%
ADACU,$10.24,0.00,Finance,Blank Checks,1849,0.986%
ADACW,$0.55,0.00,,,14710,37.50%
ADAG,$3.6999,244384293.00,Health Care,Biotechnology: Pharmaceutical Preparations,2124,3.639%
ADAM,$9.455,849636776.00,Real Estate,Real Estate Investment Trusts,143996,1.557%
ADAMG,$24.93,0.00,Real Estate,Real Estate Investment Trusts,4763,0.769%
ADAMH,$25.2901,0.00,Real Estate,Real Estate Investment Trusts,14207,0.506%
ADAMI,$25.0101,2265401077.00,Real Estate,Real Estate Investment Trusts,7249,0.808%
ADAML,$24.3188,2185314313.00,Real Estate,Real Estate Investment Trusts,962,-0.149%
ADAMM,$25.31,2274384643.00,Real Estate,Real Estate Investment Trusts,492,0.04%
ADAMN,$23.56,2117127704.00,Real Estate,Real Estate Investment Trusts,862,0.00%
ADAMO,$24.88,0.00,Real Estate,Real Estate Investment Trusts,11707,0.619%
ADAMZ,$18.955,1703317302.00,Real Estate,Real Estate Investment Trusts,2473,0.397%
ADBE,$209.50,84679900000.00,Technology,Computer Software: Prepackaged Software,2479061,2.686%
ADEA,$31.93,3521679406.00,Technology,Computer Software: Prepackaged Software,305048,0.031%
ADGM,$0.7699,17099832.00,Health Care,Medical/Dental Instruments,4430,3.342%
ADI,$430.37,209627649405.00,Technology,Semiconductors,511707,3.011%
ADIL,$2.72,5830649.00,Health Care,Biotechnology: Pharmaceutical Preparations,81634,-8.725%
ADMA,$8.3391,1937375428.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),397395,1.572%
ADP,$225.325,90725841318.00,Industrials,Diversified Commercial Services,295544,-0.391%
ADPT,$17.255,2761565984.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),475677,-1.96%
ADSE,$11.50,828023587.00,Consumer Discretionary,Industrial Specialties,233,0.087%
ADSEW,$0.4898,35266605.00,Consumer Discretionary,Industrial Specialties,23,0.00%
ADSK,$199.555,42106105000.00,Technology,Computer Software: Prepackaged Software,411964,0.567%
ADTN,$15.131,1225582251.00,Utilities,Telecommunications Equipment,129101,-0.845%
ADTX,$0.0122,9954.00,Health Care,Biotechnology: Pharmaceutical Preparations,306569517,-3.937%
ADUR,$15.18,514187632.00,Industrials,Major Chemicals,91493,6.901%
ADUS,$92.25,1721825586.00,Health Care,Medical/Nursing Services,23973,-1.104%
ADV,$39.385,523634603.00,Consumer Discretionary,Business Services,15531,0.472%
ADVB,$4.59,7583290.00,Health Care,Medical Specialities,48090,2.00%
ADXN,$6.50,10522636.00,Health Care,Biotechnology: Pharmaceutical Preparations,3633,0.775%
AEAQ,$9.99,0.00,,,635,0.00%
AEAQW,$0.36,0.00,,,50500,-5.263%
AEBI,$12.49,969216306.00,Industrials,Auto Manufacturing,15266,1.216%
AEC,$4.18,76222200.00,Basic Materials,Metal Mining,28509,4.37%
AEHL,$1.03,18697018.00,Industrials,Building Materials,31310,-0.962%
AEHR,$120.86,3880096450.00,Industrials,Electrical Products,636470,11.423%
AEI,$1.39,54065204.00,Finance,Real Estate,1424,-0.072%
AEIS,$367.58,13979308900.00,Technology,Industrial Machinery/Components,264016,3.728%
AEMD,$2.07,4907059.00,Health Care,Medical/Dental Instruments,70389,2.475%
AENT,$5.43,276792241.00,Consumer Discretionary,Durable Goods,2534,1.401%
AEP,$129.05,70216754380.00,Utilities,Electric Utilities: Central,298939,-0.139%
AERT,$5.5007,31570437.00,Consumer Discretionary,Professional Services,19169,-5.16%
AERTW,$0.0181,103882.00,Consumer Discretionary,Professional Services,100,0.00%
AESPU,$10.06,0.00,,,13,0.00%
AEVA,$27.69,1745600333.00,Consumer Discretionary,Auto Parts:O.E.M.,562506,11.249%
