ticket,price,market_cap,sector,industry,volume,pct_change
AACB,$10.44,0.00,,,9,0.00%
AACBR,$0.25,0.00,,,513,0.00%
AACBU,$10.53,0.00,Finance,Blank Checks,7,0.00%
AACG,$1.15,49484497.00,Real Estate,Other Consumer Services,9546,-1.709%
AACI,$9.95,0.00,Finance,Blank Checks,63,0.00%
AACIU,$10.08,0.00,Finance,Blank Checks,35,0.00%
AACIW,$0.26,0.00,Finance,Blank Checks,1904,4.042%
AACO,$9.94,0.00,,,69,0.00%
AACOU,$10.04,0.00,,,2,0.00%
AACOW,$0.351,0.00,,,2695,3.235%
AACPU,$10.10,0.00,Finance,Blank Checks,98,0.00%
AAL,$13.59,8988224012.00,Consumer Discretionary,Air Freight/Delivery Services,108762021,4.942%
AAME,$2.2401,45691830.00,Finance,Life Insurance,2337,-0.876%
AAOI,$176.81,14187723633.00,Technology,Semiconductors,9833836,6.989%
AAON,$132.39,10844291287.00,Industrials,Industrial Machinery/Components,1045233,-1.024%
AAPG,$20.66,1928209122.00,Health Care,Biotechnology: Pharmaceutical Preparations,4837,4.449%
AAPL,$304.99,4479496706440.00,Technology,Computer Manufacturing,42899516,0.907%
AARD,$4.51,98391896.00,Health Care,Biotechnology: Pharmaceutical Preparations,166561,5.128%
ABAT,$3.21,437890253.00,Basic Materials,Metal Mining,5282020,5.246%
ABCL,$5.14,1514580834.00,Health Care,Biotechnology: Pharmaceutical Preparations,13938691,12.473%
ABEO,$5.52,314613195.00,Health Care,Biotechnology: Pharmaceutical Preparations,801000,3.759%
ABLV,$1.03,50871620.00,Consumer Discretionary,Other Consumer Services,121708,-0.962%
ABLVW,$0.0188,928531.00,Consumer Discretionary,Other Consumer Services,900,5.028%
ABNB,$134.25,80913135913.00,Consumer Discretionary,Diversified Commercial Services,4173666,-0.959%
ABOS,$2.49,179846674.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),412883,5.957%
ABSI,$5.09,793556735.00,Health Care,Biotechnology: Commercial Physical & Biological Resarch,2606486,2.828%
ABTC,$1.13,1201204922.00,Technology,EDP Services,8921644,1.802%
ABTS,$0.8523,2524041.00,Technology,Computer Software: Programming Data Processing,18042,-0.918%
ABUS,$4.44,877067432.00,Health Care,Biotechnology: Pharmaceutical Preparations,2357588,1.602%
ABVC,$1.11,28860491.00,Health Care,Biotechnology: Pharmaceutical Preparations,118697,0.909%
ABVE,$0.52,26619761.00,Consumer Staples,Packaged Foods,3149218,-5.282%
ABVEW,$0.13,6654940.00,Consumer Staples,Packaged Foods,1491,-18.597%
ABVX,$124.03,9834486048.00,Health Care,Biotechnology: Pharmaceutical Preparations,1648232,3.445%
ACAA,$9.95,0.00,Finance,Blank Checks,6679,0.00%
ACAAU,$10.00,0.00,Finance,Blank Checks,8,0.00%
ACAD,$21.32,3650748748.00,Health Care,Biotechnology: Pharmaceutical Preparations,1664517,1.766%
ACB,$3.56,210418382.00,Health Care," Medicinal Chemicals and Botanical Products ",888259,2.594%
ACCL,$1.48,20572000.00,Consumer Discretionary,Professional Services,30872,5.684%
ACDC,$7.40,1338813572.00,Energy,Oilfield Services/Equipment,1640217,-4.516%
ACET,$7.89,73757582.00,Health Care,Biotechnology: Pharmaceutical Preparations,105798,1.675%
ACFN,$17.31,43417946.00,Consumer Discretionary,Military/Government/Technical,5361,1.051%
ACGCU,$9.99,0.00,Finance,Blank Checks,36160,-0.10%
ACGL,$96.13,33586821094.00,Finance,Property-Casualty Insurers,2085976,-0.733%
ACGLN,$16.55,5782397681.00,Finance,Property-Casualty Insurers,77380,-0.241%
ACGLO,$19.81,6921407738.00,Finance,Property-Casualty Insurers,17615,-0.652%
ACHC,$23.02,2117080962.00,Health Care,Medical Specialities,4621342,-4.362%
ACHV,$4.60,472231662.00,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,840888,0.656%
ACIC,$10.85,525834910.00,Finance,Property-Casualty Insurers,391032,-0.823%
ACIU,$2.85,290054683.00,Health Care,Biotechnology: Pharmaceutical Preparations,146710,-1.384%
ACIW,$42.52,4322649956.00,Technology,Computer Software: Prepackaged Software,469583,-1.688%
ACLS,$152.51,4687226631.00,Technology,Industrial Machinery/Components,349868,1.972%
ACMR,$71.59,4741038586.00,Technology,Industrial Machinery/Components,967570,-0.014%
ACNB,$54.76,559211529.00,Finance,Major Banks,33487,1.071%
ACNT,$14.29,129156092.00,Industrials,Steel/Iron Ore,51568,0.918%
ACOG,$5.82,126725285.00,,,23658,-1.188%
ACON,$3.26,8026935.00,Health Care,Medical Specialities,15900,2.194%
ACONW,$0.0397,97751.00,Health Care,Medical Specialities,21116,-0.75%
ACRS,$4.54,634073107.00,Health Care,Biotechnology: Pharmaceutical Preparations,475796,0.221%
ACRV,$1.79,76615095.00,Health Care,Biotechnology: Pharmaceutical Preparations,355505,1.705%
ACT,$43.40,6058672333.00,Finance,Specialty Insurers,286459,-0.092%
ACTG,$4.58,442378225.00,Miscellaneous,Multi-Sector Companies,155685,-0.218%
ACTU,$2.42,57900562.00,Health Care,Biotechnology: Pharmaceutical Preparations,113211,-3.586%
ACXP,$1.93,8294634.00,Health Care,Biotechnology: Pharmaceutical Preparations,70251,2.116%
ADAC,$9.94,0.00,,,1,0.00%
ADACW,$0.41,0.00,,,1191,-7.029%
ADAG,$3.79,250335541.00,Health Care,Biotechnology: Pharmaceutical Preparations,147328,9.855%
ADAM,$8.88,797966639.00,Real Estate,Real Estate Investment Trusts,515231,-0.112%
ADAMG,$25.21,0.00,Real Estate,Real Estate Investment Trusts,6758,-0.04%
ADAMH,$25.62,0.00,Real Estate,Real Estate Investment Trusts,10148,0.549%
ADAMI,$25.34,2295283238.00,Real Estate,Real Estate Investment Trusts,5080,0.356%
ADAML,$24.28,2181827702.00,Real Estate,Real Estate Investment Trusts,2945,0.663%
ADAMM,$25.4564,2287540310.00,Real Estate,Real Estate Investment Trusts,6181,-0.053%
ADAMN,$23.48,2109938816.00,Real Estate,Real Estate Investment Trusts,7021,-0.043%
ADAMO,$25.34,0.00,Real Estate,Real Estate Investment Trusts,10654,0.916%
ADAMZ,$18.18,1633674943.00,Real Estate,Real Estate Investment Trusts,3601,-1.222%
ADBE,$244.10,98665220000.00,Technology,Computer Software: Prepackaged Software,4124766,-3.659%
ADEA,$26.36,2907343224.00,Technology,Computer Software: Prepackaged Software,1223178,-0.189%
ADGM,$0.8449,18765617.00,Health Care,Medical/Dental Instruments,667518,0.13%
ADI,$384.21,187572919161.00,Technology,Semiconductors,5300509,-3.477%
ADIL,$2.30,4930328.00,Health Care,Biotechnology: Pharmaceutical Preparations,172463,-2.128%
ADMA,$8.46,1960797169.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3341289,-1.168%
ADP,$220.075,88611958407.00,Industrials,Diversified Commercial Services,2248874,-0.279%
ADPT,$13.87,2219815717.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1075823,-0.645%
ADSE,$11.89,856104386.00,Consumer Discretionary,Industrial Specialties,1417,0.00%
ADSEW,$0.50,36001026.00,Consumer Discretionary,Industrial Specialties,1322,-4.762%
ADSK,$240.19,50714977838.00,Technology,Computer Software: Prepackaged Software,1992187,-1.412%
ADTN,$14.83,1201201823.00,Utilities,Telecommunications Equipment,1531074,2.488%
ADTX,$1.22,622350.00,Health Care,Biotechnology: Pharmaceutical Preparations,308862,-12.857%
ADUR,$14.28,483702199.00,Industrials,Major Chemicals,274647,-1.653%
ADUS,$93.26,1740677010.00,Health Care,Medical/Nursing Services,158192,-0.533%
ADV,$40.83,542846282.00,Consumer Discretionary,Business Services,196332,13.764%
ADVB,$4.13,5708209.00,Health Care,Medical Specialities,10705,-6.982%
ADXN,$6.99,11315880.00,Health Care,Biotechnology: Pharmaceutical Preparations,998,3.097%
AEAQ,$9.95,0.00,,,400,-0.10%
AEAQW,$0.39,0.00,,,46999,14.706%
AEBI,$11.86,920328694.00,Industrials,Auto Manufacturing,213046,-3.263%
AEC,$4.36,79504495.00,Basic Materials,Metal Mining,67731,2.108%
AEHL,$1.97,9560556.00,Industrials,Building Materials,1479011,-32.302%
AEHR,$91.30,2931100495.00,Industrials,Electrical Products,1976529,10.882%
AEI,$1.56,60677495.00,Finance,Real Estate,12496,-4.878%
AEIS,$323.79,12313946430.00,Technology,Industrial Machinery/Components,711788,3.431%
AEMD,$2.10,2761731.00,Health Care,Medical/Dental Instruments,241906,1.449%
AENT,$5.98,304828287.00,Consumer Discretionary,Durable Goods,42124,-2.606%
AENTW,$0.4799,24462725.00,Consumer Discretionary,Durable Goods,18147,-2.261%
AEP,$129.61,70521453198.00,Utilities,Electric Utilities: Central,5244571,0.574%
AERT,$0.7244,36371919.00,Consumer Discretionary,Professional Services,152641,0.472%
AERTW,$0.0219,1099593.00,Consumer Discretionary,Professional Services,40172,38.608%
AEVA,$21.49,1354747243.00,Consumer Discretionary,Auto Parts:O.E.M.,1841986,1.80%
AEYE,$7.28,90952061.00,Technology,Computer Software: Prepackaged Software,82917,-1.754%
AFBI,$22.50,137134913.00,Finance,Banks,23224,0.044%
AFCG,$3.48,81880377.00,Finance,Real Estate,288399,-1.136%
AFJK,$40.50,0.00,,,6186,-3.972%
AFJKR,$0.281,0.00,,,15836,-1.056%
AFJKU,$54.82,0.00,,,10,0.00%
AFRI,$10.04,270716703.00,Consumer Staples,Packaged Foods,7163,0.30%
AFRIW,$0.75,20222861.00,Consumer Staples,Packaged Foods,12578,-3.846%
AFRM,$67.18,22498485597.00,Finance,Finance: Consumer Services,3956945,0.089%
AFYA,$14.09,1266235625.00,Real Estate,Other Consumer Services,78273,-0.914%
AGAE,$0.6109,23035164.00,Consumer Discretionary,Services-Misc. Amusement & Recreation,1592946,23.24%
AGCC,$17.62,656988130.00,Consumer Staples,Beverages (Production/Distribution),6247,4.819%
AGEN,$3.16,131590082.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),435701,0.317%
AGIO,$28.79,1712187623.00,Health Care,Biotechnology: Pharmaceutical Preparations,522756,1.018%
AGMB,$10.94,538772847.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),27865,2.243%
AGMH,$1.10,3848824.00,Technology,EDP Services,35914,7.843%
AGNC,$10.26,11777754331.00,Real Estate,Real Estate Investment Trusts,15508078,0.098%
AGNCL,$24.91,28594918166.00,Real Estate,Real Estate Investment Trusts,7706,-0.36%
AGNCM,$24.7899,28457051860.00,Real Estate,Real Estate Investment Trusts,16763,-0.252%
AGNCN,$25.77,29582137339.00,Real Estate,Real Estate Investment Trusts,12063,-0.039%
AGNCO,$25.49,29260717143.00,Real Estate,Real Estate Investment Trusts,6992,-0.313%
AGNCP,$24.98,28675273215.00,Real Estate,Real Estate Investment Trusts,40350,0.04%
AGNCZ,$25.24,28973734825.00,,,19053,0.04%
AGNT,$5.06,831479055.00,Finance,Real Estate,1173381,3.055%
AGPU,$5.70,59306454.00,Health Care,Industrial Specialties,358409,11.111%
AGRZ,$0.3301,6741792.00,Consumer Staples,Farming/Seeds/Milling,83472,-3.48%
AGYS,$79.50,2234605637.00,Technology,EDP Services,406386,-2.298%
AHCO,$10.53,1432650221.00,Health Care,Medical/Nursing Services,754730,0.477%
AHG,$1.51,833310377.00,Consumer Discretionary,Business Services,6848,-5.625%
