ticket,price,market_cap,sector,industry,volume,pct_change
AACB,$10.50,0.00,,,36,0.00%
AACBR,$0.205,0.00,,,170,-2.381%
AACG,$1.0791,46433670.00,Real Estate,Other Consumer Services,35769,7.91%
AACI,$9.96,0.00,Finance,Blank Checks,491,0.00%
AACIU,$10.30,0.00,Finance,Blank Checks,27,0.00%
AACIW,$0.30,0.00,Finance,Blank Checks,1000,0.00%
AACO,$9.90,0.00,,,51549,0.00%
AACOU,$10.01,0.00,,,2150,-0.10%
AACP,$9.99,0.00,Finance,Blank Checks,915,-0.05%
AACPR,$0.20,0.00,Finance,Blank Checks,1500,-4.717%
AACPU,$10.29,0.00,Finance,Blank Checks,128,-0.58%
AAL,$15.99,10575548341.00,Consumer Discretionary,Air Freight/Delivery Services,126278479,3.696%
AAME,$1.87,38142816.00,Finance,Life Insurance,28068,5.65%
AAOI,$161.85,12987291839.00,Technology,Semiconductors,16728379,-3.281%
AAON,$136.72,11198968991.00,Industrials,Industrial Machinery/Components,1316578,2.519%
AAPG,$17.12,1597818982.00,Health Care,Biotechnology: Pharmaceutical Preparations,12808,0.176%
AAPL,$298.01,4376978961560.00,Technology,Computer Manufacturing,85962375,0.696%
AARD,$3.93,85738393.00,Health Care,Biotechnology: Pharmaceutical Preparations,152760,2.88%
ABAT,$3.12,425612956.00,Basic Materials,Metal Mining,4825560,0.645%
ABCL,$5.53,1629500392.00,Health Care,Biotechnology: Pharmaceutical Preparations,6803934,1.654%
ABEO,$5.77,328861981.00,Health Care,Biotechnology: Pharmaceutical Preparations,1111191,2.124%
ABLV,$1.12,55316713.00,Consumer Discretionary,Other Consumer Services,66083,1.818%
ABLVW,$0.0195,963103.00,Consumer Discretionary,Other Consumer Services,49,0.00%
ABNB,$142.41,85831208084.00,Consumer Discretionary,Diversified Commercial Services,7413231,1.331%
ABOS,$2.26,163234331.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),696857,0.444%
ABSI,$7.41,1155256465.00,Health Care,Biotechnology: Commercial Physical & Biological Resarch,8444243,3.203%
ABTC,$0.8504,903986430.00,Technology,EDP Services,37288253,0.902%
ABTS,$1.10,3257592.00,Technology,Computer Software: Programming Data Processing,81898,-1.786%
ABUS,$4.55,898796581.00,Health Care,Biotechnology: Pharmaceutical Preparations,5045893,2.709%
ABVC,$1.35,35100597.00,Health Care,Biotechnology: Pharmaceutical Preparations,77043,-0.735%
ABVX,$99.15,7861721290.00,Health Care,Biotechnology: Pharmaceutical Preparations,1701768,-0.999%
ACAA,$9.97,0.00,Finance,Blank Checks,3,0.00%
ACAAW,$0.55,0.00,Finance,Blank Checks,3039,0.64%
ACAD,$21.62,3702119509.00,Health Care,Biotechnology: Pharmaceutical Preparations,3225771,0.093%
ACB,$2.93,181490488.00,Health Care," Medicinal Chemicals and Botanical Products ",1608733,0.342%
ACCL,$1.66,23074000.00,Consumer Discretionary,Professional Services,27364,-2.924%
