ticket,price,market_cap,sector,industry,volume,pct_change
AACB,$10.44,0.00,,,1764,0.00%
AACBR,$0.25,0.00,,,83,0.00%
AACBU,$10.53,0.00,Finance,Blank Checks,6,0.00%
AACG,$1.20,51635996.00,Real Estate,Other Consumer Services,15289,4.348%
AACI,$9.95,0.00,Finance,Blank Checks,45,0.00%
AACIU,$10.08,0.00,Finance,Blank Checks,34,0.00%
AACIW,$0.27,0.00,Finance,Blank Checks,10812,3.846%
AACOU,$9.99,0.00,,,5800,-0.498%
AACOW,$0.372,0.00,,,1708,5.983%
AACPU,$10.10,0.00,Finance,Blank Checks,224656,0.00%
AAL,$13.85,9160184147.00,Consumer Discretionary,Air Freight/Delivery Services,99259782,1.913%
AAME,$2.23,45485818.00,Finance,Life Insurance,2881,-0.451%
AAOI,$181.49,14563259783.00,Technology,Semiconductors,10259961,2.647%
AAON,$134.60,11025316166.00,Industrials,Industrial Machinery/Components,944215,1.669%
AAPG,$21.01,1960874813.00,Health Care,Biotechnology: Pharmaceutical Preparations,8255,1.694%
AAPL,$308.82,4535749279920.00,Technology,Computer Manufacturing,43627655,1.256%
AARD,$4.54,99046388.00,Health Care,Biotechnology: Pharmaceutical Preparations,136864,0.665%
ABAT,$3.23,440618541.00,Basic Materials,Metal Mining,5321506,0.623%
ABCL,$5.20,1532260766.00,Health Care,Biotechnology: Pharmaceutical Preparations,6449510,1.167%
ABEO,$5.44,310053583.00,Health Care,Biotechnology: Pharmaceutical Preparations,671515,-1.449%
ABLV,$1.03,50871620.00,Consumer Discretionary,Other Consumer Services,124842,0.00%
ABLVW,$0.017,839629.00,Consumer Discretionary,Other Consumer Services,2373,-9.574%
ABNB,$132.35,79767996559.00,Consumer Discretionary,Diversified Commercial Services,3097348,-1.415%
ABOS,$2.51,181291226.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),396216,0.803%
ABSI,$5.10,795115786.00,Health Care,Biotechnology: Commercial Physical & Biological Resarch,2242025,0.196%
ABTC,$1.11,1179944658.00,Technology,EDP Services,7909740,-1.77%
ABTS,$0.86,2546844.00,Technology,Computer Software: Programming Data Processing,32290,0.903%
ABUS,$4.35,859289039.00,Health Care,Biotechnology: Pharmaceutical Preparations,847345,-2.027%
ABVC,$1.14,29640504.00,Health Care,Biotechnology: Pharmaceutical Preparations,252708,2.703%
ABVE,$0.567,29025778.00,Consumer Staples,Packaged Foods,2874179,9.038%
ABVEW,$0.16,8190696.00,Consumer Staples,Packaged Foods,6394,23.077%
ABVX,$121.99,9672732024.00,Health Care,Biotechnology: Pharmaceutical Preparations,1172594,-1.645%
ACAA,$9.95,0.00,Finance,Blank Checks,27,0.00%
ACAAU,$10.02,0.00,Finance,Blank Checks,433,0.20%
ACAAW,$0.49,0.00,Finance,Blank Checks,201,-18.333%
ACAD,$21.10,3613076857.00,Health Care,Biotechnology: Pharmaceutical Preparations,1376556,-1.032%
ACB,$3.46,204507753.00,Health Care," Medicinal Chemicals and Botanical Products ",414841,-2.809%
ACCL,$1.43,19877000.00,Consumer Discretionary,Professional Services,17189,-3.378%
ACDC,$7.15,1293583384.00,Energy,Oilfield Services/Equipment,1270513,-3.378%
ACET,$8.30,77590359.00,Health Care,Biotechnology: Pharmaceutical Preparations,91991,5.196%
ACFN,$17.46,43794185.00,Consumer Discretionary,Military/Government/Technical,5508,0.867%
ACGCU,$9.99,0.00,Finance,Blank Checks,3,0.00%
ACGL,$96.30,33646217324.00,Finance,Property-Casualty Insurers,1942213,0.177%
ACGLN,$16.60,5799867161.00,Finance,Property-Casualty Insurers,36078,0.302%
ACGLO,$19.77,6907432155.00,Finance,Property-Casualty Insurers,19414,-0.202%
ACHC,$23.18,2131795686.00,Health Care,Medical Specialities,2551858,0.695%
ACHV,$4.69,481470977.00,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,816344,1.957%
ACIC,$10.80,523411708.00,Finance,Property-Casualty Insurers,301325,-0.461%
ACIU,$2.83,288019212.00,Health Care,Biotechnology: Pharmaceutical Preparations,78157,-0.702%
ACIW,$42.72,4342982270.00,Technology,Computer Software: Prepackaged Software,512030,0.47%
ACLS,$156.94,4823377795.00,Technology,Industrial Machinery/Components,477084,2.905%
ACMR,$73.35,4857594361.00,Technology,Industrial Machinery/Components,1830749,2.458%
ACNB,$54.45,556045796.00,Finance,Major Banks,41039,-0.566%
ACNT,$14.45,130602207.00,Industrials,Steel/Iron Ore,60253,1.12%
ACOG,$5.85,127378508.00,,,29334,0.515%
