ticket,price,market_cap,sector,industry,volume,pct_change
AACB,$10.46,0.00,,,1184,0.192%
AACBR,$0.25,0.00,,,13,0.00%
AACBU,$10.87,0.00,Finance,Blank Checks,441,3.229%
AACG,$1.18,50775396.00,Real Estate,Other Consumer Services,20838,3.965%
AACI,$9.96,0.00,Finance,Blank Checks,7923,0.101%
AACIW,$0.2805,0.00,Finance,Blank Checks,9975,-6.469%
AACO,$9.89,0.00,,,11243,0.101%
AACOU,$10.00,0.00,,,300,-0.10%
AACOW,$0.45,0.00,,,3536,7.143%
AACP,$9.95,0.00,Finance,Blank Checks,137240,0.001%
AACPR,$0.21,0.00,Finance,Blank Checks,580017,5.00%
AACPU,$10.27,0.00,Finance,Blank Checks,48325,0.686%
AACPW,$0.1199,0.00,Finance,Blank Checks,3295291,99.833%
AAL,$14.64,9682678406.00,Consumer Discretionary,Air Freight/Delivery Services,71239137,-0.068%
AAME,$2.16,44058012.00,Finance,Life Insurance,7908,-3.571%
AAOI,$158.41,12711256720.00,Technology,Semiconductors,11926906,-6.277%
AAON,$140.20,11484021742.00,Industrials,Industrial Machinery/Components,1045252,-1.448%
AAPG,$20.01,1867544265.00,Health Care,Biotechnology: Pharmaceutical Preparations,15604,0.654%
AAPL,$312.06,4583336313360.00,Technology,Computer Manufacturing,70026852,-0.144%
AARD,$4.11,89665342.00,Health Care,Biotechnology: Pharmaceutical Preparations,149748,-2.143%
ABAT,$3.61,492456016.00,Basic Materials,Metal Mining,8651158,-4.749%
ABCL,$6.17,1818086332.00,Health Care,Biotechnology: Pharmaceutical Preparations,9333557,7.679%
ABEO,$5.78,329431932.00,Health Care,Biotechnology: Pharmaceutical Preparations,714757,0.00%
ABLV,$1.10,54328914.00,Consumer Discretionary,Other Consumer Services,133994,4.762%
ABLVW,$0.0169,834690.00,Consumer Discretionary,Other Consumer Services,1051,0.595%
ABNB,$133.31,80346593285.00,Consumer Discretionary,Diversified Commercial Services,4207351,-0.885%
ABOS,$2.60,187791708.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),189705,2.362%
ABSI,$6.75,1052359128.00,Health Care,Biotechnology: Commercial Physical & Biological Resarch,9580314,11.02%
ABTC,$1.13,1201204922.00,Technology,EDP Services,12648932,7.619%
ABTS,$0.9917,2936867.00,Technology,Computer Software: Programming Data Processing,110005,21.786%
ABUS,$4.56,900771958.00,Health Care,Biotechnology: Pharmaceutical Preparations,2383788,-0.87%
ABVC,$1.41,36660623.00,Health Care,Biotechnology: Pharmaceutical Preparations,91396,0.00%
ABVE,$0.5868,30039376.00,Consumer Staples,Packaged Foods,1797958,6.691%
ABVEW,$0.1321,6762443.00,Consumer Staples,Packaged Foods,3965,0.228%
ABVX,$132.63,10516390264.00,Health Care,Biotechnology: Pharmaceutical Preparations,1886502,2.417%
ACAA,$9.98,0.00,Finance,Blank Checks,25308,0.402%
ACAAU,$10.02,0.00,Finance,Blank Checks,876,-0.595%
ACAAW,$0.55,0.00,Finance,Blank Checks,2,0.00%
ACAD,$21.66,3708968944.00,Health Care,Biotechnology: Pharmaceutical Preparations,1745410,0.139%
ACB,$3.60,212782633.00,Health Care," Medicinal Chemicals and Botanical Products ",791137,-1.907%
ACCL,$1.50,20850000.00,Consumer Discretionary,Professional Services,40660,2.041%
ACDC,$6.11,1105425801.00,Energy,Oilfield Services/Equipment,1322780,0.659%
ACET,$9.31,87032077.00,Health Care,Biotechnology: Pharmaceutical Preparations,203860,7.755%
ACFN,$17.00,42640386.00,Consumer Discretionary,Military/Government/Technical,10907,0.771%
ACGC,$9.92,0.00,Finance,Blank Checks,484381,-0.101%
ACGCU,$10.07,0.00,Finance,Blank Checks,100100,0.099%
ACGCW,$0.30,0.00,Finance,Blank Checks,108168,0.00%
ACGL,$89.34,31214465792.00,Finance,Property-Casualty Insurers,5148592,-1.467%
ACGLN,$16.52,5771915994.00,Finance,Property-Casualty Insurers,56297,-0.721%
ACGLO,$19.81,6921407738.00,Finance,Property-Casualty Insurers,27559,-0.302%
ACHC,$23.20,2133635026.00,Health Care,Medical Specialities,2763072,-2.357%
ACHV,$5.24,537933459.00,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,1099062,-1.132%
ACIC,$10.45,506449291.00,Finance,Property-Casualty Insurers,305887,-0.665%
ACIU,$2.66,270717704.00,Health Care,Biotechnology: Pharmaceutical Preparations,293120,-3.273%
ACIW,$43.67,4439560762.00,Technology,Computer Software: Prepackaged Software,1070141,2.995%
ACLS,$150.41,4622685448.00,Technology,Industrial Machinery/Components,518222,-3.304%
ACMR,$86.56,5732424920.00,Technology,Industrial Machinery/Components,2251620,-6.784%
ACNB,$54.29,554411869.00,Finance,Major Banks,34115,-0.404%
ACNT,$13.55,122467813.00,Industrials,Steel/Iron Ore,80255,-0.441%
ACOG,$6.19,134781704.00,,,113428,4.209%
ACON,$3.28,8076180.00,Health Care,Medical Specialities,133729,4.127%
ACONW,$0.0295,72636.00,Health Care,Medical Specialities,34,0.00%
ACRS,$4.55,635469744.00,Health Care,Biotechnology: Pharmaceutical Preparations,1184509,-0.438%
ACRV,$1.60,68482766.00,Health Care,Biotechnology: Pharmaceutical Preparations,366765,-1.84%
ACT,$41.79,5833915134.00,Finance,Specialty Insurers,345177,-0.76%
ACTG,$4.65,449139464.00,Miscellaneous,Multi-Sector Companies,238062,-1.064%
ACTU,$2.02,48330221.00,Health Care,Biotechnology: Pharmaceutical Preparations,102441,-2.885%
ACXP,$1.98,8509521.00,Health Care,Biotechnology: Pharmaceutical Preparations,62205,-0.503%
ADAC,$9.9899,0.00,,,20594,-0.001%
ADACW,$0.40,0.00,,,6074,5.263%
ADAG,$3.97,262224828.00,Health Care,Biotechnology: Pharmaceutical Preparations,553237,0.761%
ADAM,$9.20,826722194.00,Real Estate,Real Estate Investment Trusts,432848,0.109%
ADAMG,$25.221,0.00,Real Estate,Real Estate Investment Trusts,7431,0.163%
ADAMH,$25.68,0.00,Real Estate,Real Estate Investment Trusts,6933,0.234%
ADAMI,$25.41,2301623799.00,Real Estate,Real Estate Investment Trusts,15338,0.514%
ADAML,$24.2247,2176858383.00,Real Estate,Real Estate Investment Trusts,706,-0.146%
ADAMM,$25.33,2276181866.00,Real Estate,Real Estate Investment Trusts,7828,-0.393%
ADAMN,$23.3001,2093772803.00,Real Estate,Real Estate Investment Trusts,2449,-0.724%
ADAMO,$25.279,0.00,Real Estate,Real Estate Investment Trusts,3841,0.036%
ADAMZ,$18.37,1650748554.00,Real Estate,Real Estate Investment Trusts,3587,0.465%
ADBE,$259.21,104772682000.00,Technology,Computer Software: Prepackaged Software,10809026,7.36%
ADEA,$26.72,2947048973.00,Technology,Computer Software: Prepackaged Software,1889182,-1.765%
ADGM,$0.724,16080372.00,Health Care,Medical/Dental Instruments,79106,-0.165%
ADI,$413.85,201580971504.00,Technology,Semiconductors,5508120,-1.231%
ADIL,$2.40,5144690.00,Health Care,Biotechnology: Pharmaceutical Preparations,42777,-5.138%
ADMA,$7.98,1849546266.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3100208,0.631%
ADP,$221.84,89322625710.00,Industrials,Diversified Commercial Services,3377827,0.901%
ADPT,$15.15,2424672539.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2293341,-0.263%
ADSE,$11.94,859704489.00,Consumer Discretionary,Industrial Specialties,6447,4.371%
ADSEW,$0.48,34560984.00,Consumer Discretionary,Industrial Specialties,1,0.00%
ADSK,$231.31,48840008009.00,Technology,Computer Software: Prepackaged Software,7643170,-4.001%
ADTN,$16.55,1340518555.00,Utilities,Telecommunications Equipment,3210451,-2.187%
ADTX,$0.1172,95626.00,Health Care,Biotechnology: Pharmaceutical Preparations,60244864,-28.537%
ADUR,$16.85,570755046.00,Industrials,Major Chemicals,572563,-0.119%
ADUS,$91.68,1711186664.00,Health Care,Medical/Nursing Services,164572,-1.978%
