ticket,price,market_cap,sector,industry,volume,pct_change
AACB,$10.44,0.00,,,96,0.00%
AACBR,$0.25,0.00,,,128,0.00%
AACBU,$10.53,0.00,Finance,Blank Checks,34,0.00%
AACG,$1.19,51205696.00,Real Estate,Other Consumer Services,44082,-0.833%
AACI,$9.95,0.00,Finance,Blank Checks,12,0.00%
AACIU,$10.08,0.00,Finance,Blank Checks,27,0.00%
AACIW,$0.2998,0.00,Finance,Blank Checks,429,11.037%
AACOU,$10.00,0.00,,,9001,0.10%
AACOW,$0.372,0.00,,,1708,5.983%
AACPU,$10.11,0.00,Finance,Blank Checks,1368,0.099%
AAL,$14.845,9818262359.00,Consumer Discretionary,Air Freight/Delivery Services,109818219,7.184%
AAME,$2.16,44058012.00,Finance,Life Insurance,4558,-3.139%
AAOI,$177.62,14252720275.00,Technology,Semiconductors,11280363,-2.132%
AAON,$141.12,11559380515.00,Industrials,Industrial Machinery/Components,1156291,4.844%
AAPG,$20.127,1878463940.00,Health Care,Biotechnology: Pharmaceutical Preparations,6276,-4.203%
AAPL,$308.33,4528552475480.00,Technology,Computer Manufacturing,47955812,-0.159%
AARD,$4.20,91628817.00,Health Care,Biotechnology: Pharmaceutical Preparations,216341,-7.489%
ABAT,$3.52,480178720.00,Basic Materials,Metal Mining,6941631,8.978%
ABCL,$5.29,1558780664.00,Health Care,Biotechnology: Pharmaceutical Preparations,8707444,1.731%
ABEO,$5.49,312903341.00,Health Care,Biotechnology: Pharmaceutical Preparations,577308,0.919%
ABLV,$1.01,49883821.00,Consumer Discretionary,Other Consumer Services,130889,-1.942%
ABLVW,$0.0161,795178.00,Consumer Discretionary,Other Consumer Services,1210,-5.294%
ABNB,$132.68,79966889184.00,Consumer Discretionary,Diversified Commercial Services,3331084,0.249%
ABOS,$2.42,174790744.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),303598,-3.586%
ABSI,$5.28,823178696.00,Health Care,Biotechnology: Commercial Physical & Biological Resarch,3044666,3.529%
ABTC,$1.08,1148054261.00,Technology,EDP Services,9343928,-2.703%
ABTS,$0.8799,2605777.00,Technology,Computer Software: Programming Data Processing,115683,2.314%
ABUS,$4.64,916574974.00,Health Care,Biotechnology: Pharmaceutical Preparations,2326773,6.667%
ABVC,$1.29,33540570.00,Health Care,Biotechnology: Pharmaceutical Preparations,204400,13.158%
ABVE,$0.50,25595924.00,Consumer Staples,Packaged Foods,2558443,-11.817%
ABVEW,$0.1313,6721490.00,Consumer Staples,Packaged Foods,17530,-17.938%
ABVX,$126.41,10023199075.00,Health Care,Biotechnology: Pharmaceutical Preparations,1243311,3.623%
ACAA,$9.92,0.00,Finance,Blank Checks,303,-0.302%
ACAAU,$10.00,0.00,Finance,Blank Checks,301,-0.20%
ACAAW,$0.49,0.00,Finance,Blank Checks,201,-18.333%
ACAD,$21.26,3640474596.00,Health Care,Biotechnology: Pharmaceutical Preparations,965009,0.758%
ACB,$3.46,204507753.00,Health Care," Medicinal Chemicals and Botanical Products ",459961,0.00%
ACCL,$1.4372,19977080.00,Consumer Discretionary,Professional Services,6307,0.503%
ACDC,$7.22,1306247837.00,Energy,Oilfield Services/Equipment,1388870,0.979%
ACET,$8.33,77870806.00,Health Care,Biotechnology: Pharmaceutical Preparations,90253,0.361%
ACFN,$16.99,42615303.00,Consumer Discretionary,Military/Government/Technical,6780,-2.692%
ACGCU,$9.99,0.00,Finance,Blank Checks,63,0.00%
ACGL,$95.37,33321285008.00,Finance,Property-Casualty Insurers,2072687,-0.966%
ACGLN,$16.63,5810348848.00,Finance,Property-Casualty Insurers,31009,0.181%
ACGLO,$19.82,6924901634.00,Finance,Property-Casualty Insurers,24059,0.253%
ACHC,$23.49,2160305464.00,Health Care,Medical Specialities,2621792,1.337%
ACHV,$4.56,468125300.00,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,1034801,-2.772%
ACIC,$10.78,522442427.00,Finance,Property-Casualty Insurers,267036,-0.185%
ACIU,$2.93,298196569.00,Health Care,Biotechnology: Pharmaceutical Preparations,310935,3.534%
ACIW,$42.35,4305367490.00,Technology,Computer Software: Prepackaged Software,525385,-0.866%
ACLS,$164.27,5048657260.00,Technology,Industrial Machinery/Components,478698,4.671%
ACMR,$86.46,5725802433.00,Technology,Industrial Machinery/Components,3613204,17.873%
ACNB,$55.06,562275143.00,Finance,Major Banks,65413,1.12%
ACNT,$14.21,128433035.00,Industrials,Steel/Iron Ore,49194,-1.661%
ACOG,$5.88,128031732.00,,,16541,0.513%
ACON,$3.16,7780710.00,Health Care,Medical Specialities,63808,-1.558%
ACONW,$0.0313,77068.00,Health Care,Medical Specialities,468,-0.635%
ACRS,$4.51,629883197.00,Health Care,Biotechnology: Pharmaceutical Preparations,718269,-0.221%
ACRV,$1.67,71478887.00,Health Care,Biotechnology: Pharmaceutical Preparations,245825,-4.571%
ACT,$42.92,5991663975.00,Finance,Specialty Insurers,201596,0.445%
ACTG,$4.65,449139464.00,Miscellaneous,Multi-Sector Companies,196488,-0.215%
ACTU,$2.20,52636874.00,Health Care,Biotechnology: Pharmaceutical Preparations,155475,-7.563%
ACXP,$1.94,8337612.00,Health Care,Biotechnology: Pharmaceutical Preparations,125695,-1.523%
ADAC,$9.95,0.00,,,20117,0.101%
ADACW,$0.38,0.00,,,3553,0.00%
ADAG,$3.72,245711930.00,Health Care,Biotechnology: Pharmaceutical Preparations,325849,-0.80%
ADAM,$9.13,820431916.00,Real Estate,Real Estate Investment Trusts,491647,2.584%
ADAMG,$25.3049,0.00,Real Estate,Real Estate Investment Trusts,2116,-0.218%
ADAMH,$25.72,0.00,Real Estate,Real Estate Investment Trusts,8726,0.039%
ADAMI,$25.3804,2298942647.00,Real Estate,Real Estate Investment Trusts,2076,0.676%
ADAML,$24.24,2178233258.00,Real Estate,Real Estate Investment Trusts,2354,-0.464%
ADAMM,$25.29,2272587421.00,Real Estate,Real Estate Investment Trusts,29739,-0.433%
ADAMN,$23.36,2099155483.00,Real Estate,Real Estate Investment Trusts,4543,-0.299%
ADAMO,$25.21,0.00,Real Estate,Real Estate Investment Trusts,5268,-0.277%
ADAMZ,$18.11,1627384666.00,Real Estate,Real Estate Investment Trusts,7248,-0.11%
ADBE,$240.49,97206058000.00,Technology,Computer Software: Prepackaged Software,3211789,-1.745%
ADEA,$28.25,3115798409.00,Technology,Computer Software: Prepackaged Software,1860101,5.371%
ADGM,$0.75,16657844.00,Health Care,Medical/Dental Instruments,270978,-10.82%
ADI,$419.94,204547331578.00,Technology,Semiconductors,6628859,5.76%
ADIL,$2.24,4801711.00,Health Care,Biotechnology: Pharmaceutical Preparations,177541,7.692%
ADMA,$8.15,1888947627.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3357742,-1.092%
ADP,$218.35,87917396879.00,Industrials,Diversified Commercial Services,2374432,-3.089%
ADPT,$14.13,2261427259.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),904596,1.801%
ADSE,$11.87,854664345.00,Consumer Discretionary,Industrial Specialties,5112,-0.168%
ADSEW,$0.5698,41026769.00,Consumer Discretionary,Industrial Specialties,5024,33.913%
ADSK,$238.23,50301133146.00,Technology,Computer Software: Prepackaged Software,2097744,-1.145%
ADTN,$16.49,1335658669.00,Utilities,Telecommunications Equipment,1880918,5.233%
ADTX,$0.2545,207652.00,Health Care,Biotechnology: Pharmaceutical Preparations,8469273,-50.573%
ADUR,$15.18,514187632.00,Industrials,Major Chemicals,495543,4.044%
ADUS,$93.18,1739183828.00,Health Care,Medical/Nursing Services,179433,0.572%
ADV,$42.79,568905031.00,Consumer Discretionary,Business Services,88173,1.134%
ADVB,$3.98,5500889.00,Health Care,Medical Specialities,3588,0.759%
ADXN,$6.75,10927352.00,Health Care,Biotechnology: Pharmaceutical Preparations,4279,-1.171%
AEAQ,$9.99,0.00,,,500,0.402%
AEAQW,$0.38,0.00,,,1083,-2.564%
AEBI,$12.71,986288171.00,Industrials,Auto Manufacturing,259746,5.041%
AEC,$4.66,84974988.00,Basic Materials,Metal Mining,21292,6.881%
AEHL,$1.55,7522265.00,Industrials,Building Materials,2844843,2.649%
AEHR,$109.92,3528878055.00,Industrials,Electrical Products,2692648,15.681%
AEI,$1.55,60288537.00,Finance,Real Estate,12224,-1.587%
AEIS,$339.65,12917112650.00,Technology,Industrial Machinery/Components,1095390,4.553%
AEMD,$2.45,3222020.00,Health Care,Medical/Dental Instruments,10436180,11.364%
AENT,$6.30,321140169.00,Consumer Discretionary,Durable Goods,17530,2.273%
AENTW,$0.495,25232442.00,Consumer Discretionary,Durable Goods,101,-1.414%
AEP,$130.90,71223348689.00,Utilities,Electric Utilities: Central,5996377,-0.524%
AERT,$0.735,36904142.00,Consumer Discretionary,Professional Services,155565,3.521%
AERTW,$0.02,1004194.00,Consumer Discretionary,Professional Services,48310,-8.676%
AEVA,$28.13,1773338295.00,Consumer Discretionary,Auto Parts:O.E.M.,3562756,11.098%
AEYE,$7.52,93950481.00,Technology,Computer Software: Prepackaged Software,80978,3.724%
AFBI,$22.48,137013015.00,Finance,Banks,2090,-0.044%
AFCG,$3.64,85644992.00,Finance,Real Estate,226544,0.692%
AFJK,$40.00,0.00,,,2365,-0.15%
AFJKR,$0.29,0.00,,,5000,3.757%
AFJKU,$46.04,0.00,,,114,-8.03%
AFRI,$10.05,270986341.00,Consumer Staples,Packaged Foods,11269,1.824%
AFRIW,$0.7635,20586873.00,Consumer Staples,Packaged Foods,571,14.898%
AFRM,$69.27,23198423598.00,Finance,Finance: Consumer Services,5539403,6.21%
AFYA,$14.06,1263539595.00,Real Estate,Other Consumer Services,90201,0.429%
AGAE,$0.6148,22757841.00,Consumer Discretionary,Services-Misc. Amusement & Recreation,1075601,4.469%
AGCC,$17.36,647293640.00,Consumer Staples,Beverages (Production/Distribution),7486,0.696%
AGEN,$3.32,138252871.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),699738,6.752%
AGIO,$28.33,1684830683.00,Health Care,Biotechnology: Pharmaceutical Preparations,903211,0.675%
AGMB,$11.05,544190124.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),87438,-3.913%
AGMH,$1.29,4513621.00,Technology,EDP Services,127053,16.216%
